Unnamed: 0,Şehir,Parti,Meslek,Doğum Yeri,Doğum Yılı
Hasan SUBAŞI,Antalya,İYİ Parti,avukat,Antalya,1950
İbrahim AYDIN,Antalya,AK Parti,mühendis,Antalya,1962
Kemal BÜLBÜL,Antalya,HDP,öğretmen,Antalya,1963
Kemal ÇELİK,Antalya,AK Parti,bürokrat,Antalya,1956
Mustafa KÖSE,Antalya,AK Parti,avukat,İstanbul,1977
Rafet ZEYBEK,Antalya,CHP,savcı,Antalya,1962
Sena Nur ÇELİK,Antalya,AK Parti,avukat,Antalya,1986
Tuba VURAL ÇOKAL,Antalya,AK Parti,doktor,Antalya,1973
ARDAHAN,,,,,
Orhan ATALAY,Ardahan,AK Parti,ilahiyatçı,Ardahan,1965
Öztürk YILMAZ,Ardahan,YENİLİK P,büyükelçi,Ardahan,1970
ARTVİN,,,,,
Ertunç Erkan BALTA,Artvin,AK Parti,avukat,Artvin,1972
Uğur BAYRAKTUTAN,Artvin,CHP,avukat,Artvin,1965
AYDIN,,,,,
Aydın Adnan SEZGİN,Aydın,İYİ Parti,büyükelçi,Aydın,1956
Bekir Kuvvet ERİM,Aydın,AK Parti,yatırım danışmanı,Aydın,1957
Bülent TEZCAN,Aydın,CHP,avukat,Samsun,1965
Hüseyin YILDIZ,Aydın,CHP,iş adamı,Bingöl,1967
Metin YAVUZ,Aydın,AK Parti,,,
Mustafa SAVAŞ,Aydın,AK Parti,ekonomist,Aydın,1965
Rıza POSACI,Aydın,AK Parti,mühendis,Aydın,1963
Süleyman BÜLBÜL,Aydın,CHP,avukat,Denizli,1964
BALIKESİR,,,,,
Adil ÇELİK,Balıkesir,AK Parti,avukat,Balıkesir,1968
Ahmet AKIN,Balıkesir,CHP,yönetici,Balıkesir,1973
Belgin UYGUR,Balıkesir,AK Parti,avukat,Balıkesir,1977
Ensar AYTEKİN,Balıkesir,CHP,komisyonu üyesi,Ardahan,1972
Fikret ŞAHİN,Balıkesir,CHP,doktor,Sivas,1968
İsmail OK,Balıkesir,AK Parti,eğitimci,Balıkesir,1964
Mustafa CANBEY,Balıkesir,AK Parti,bürokrat,Balıkesir,1975
Pakize Mutlu AYDEMİR,Balıkesir,AK Parti,avukat,Balıkesir,1967
Yavuz SUBAŞI,Balıkesir,AK Parti,mali müşavir,Balıkesir,1961
BARTIN,,,,,
Aysu BANKOĞLU,Bartın,CHP,avukat,Bartın,1989
Yılmaz TUNÇ,Bartın,AK Parti,avukat,Bartın,1971
BATMAN,,,,,
Ayşe ACAR BAŞARAN,Batman,HDP,avuakt,Batman,1985
Feleknas UCA,Batman,HDP,araştırmacı,yurt dışı,1976
Mehmet Ruştu TİRYAKİ,Batman,HDP,avukat,Diyarbakır,1971
Necdet İPEKYÜZ,Batman,HDP,doktor,Diyarbakır,1964
Ziver ÖZDEMİR,Batman,AK Parti,mühendis,Batman,1965
BAYBURT,,,,,
Fetani BATTAL,Bayburt,AK Parti,eğitimci,Bayburt,1963
BİLECİK,,,,,
Selim YAĞCI,Bilecik,AK Parti,hakim,Bilecik,1966
Yaşar TÜZÜN,Bilecik,CHP,iş adamı,Bilecik,1966
BİNGÖL,,,,,
Cevdet YILMAZ,Bingöl,AK Parti,kamu yönetimi,Bingöl,1967
Erdal AYDEMİR,Bingöl,HDP,avukat,Bingöl,1968
Feyzi BERDİBEK,Bingöl,AK Parti,iş adamı,Bingöl,1957
BİTLİS,,,,,
Cemal TAŞAR,Bitlis,AK Parti,Eğitimci-Ekonomis,Bitlis,1963
Mahmut Celadet GAYDALI,Bitlis,HDP,mühendis,Bitlis,1951
Vahit KİLER,Bitlis,AK Parti,yönetici,Bitlis,1966
BOLU,,,,,
Arzu AYDIN,Bolu,AK Parti,avukat,Düzce,1969
Fehmi KÜPÇÜ,Bolu,AK Parti,avukat,Bolu,1974
BURDUR,,,,,
Bayram ÖZÇELİK,Burdur,AK Parti,diş hekimi,Burdur,1966
Mehmet GÖKER,Burdur,CHP,doktor,Burdur,1967
Yasin UĞUR,Burdur,AK Parti,ekonomist,Burdur,1978
BURSA,,,,,
Ahmet KILIÇ,Bursa,AK Parti,yönetici,Bursa,1986
Ahmet Kamil EROZAN,Bursa,İYİ Parti,bürokrat,Bursa,1950
Atilla ÖDÜNÇ,Bursa,AK Parti,mühendis,Bursa,1977
Efkan ALA,Bursa,AK Parti,bürokrat,Erzincan,1965
Emine YAVUZ GÖZGEÇ,Bursa,AK Parti,avukat,Bursa,1969
Erkan AYDIN,Bursa,CHP,eczacı,İstanbul,1974
Hakan ÇAVUŞOĞLU,Bursa,AK Parti,avukat,yurt dışı,1972
İsmail TATLIOĞLU,Bursa,İYİ Parti,öğretim üyesi,Bursa,1960
İsmet BÜYÜKATAMAN,Bursa,MHP,eğitimci,Amasya,1953
Lale KARABIYIK,Bursa,CHP,finans profesörü,Bilecik,1965
Muhammet Müfit AYDIN,Bursa,AK Parti,bürokrat,Ağrı,1954
Mustafa ESGİN,Bursa,AK Parti,doktor,Bursa,1967
Mustafa Hidayet VAHAPOĞLU,Bursa,MHP,eğitim yönetimi,Çorum,1956
Nurhayat ALTACA KAYIŞOĞLU,Bursa,CHP,avukat,Tunceli,1978
Orhan SARIBAL,Bursa,CHP,mühendis,Erzincan,1966
Osman MESTEN,Bursa,AK Parti,avukat,Bursa,1971
Refik ÖZEN,Bursa,AK Parti,mühendis,Bursa,1975
Vildan YILMAZ GÜREL,Bursa,AK Parti,avukat,Bursa,1976
Yüksel ÖZKAN,Bursa,CHP,öğretim üyesi,Yurt dışı,1960
Zafer IŞIK,Bursa,AK Parti,mühendis,Bursa,1972
ÇANAKKALE,,,,,
Bülent TURAN,Çanakkale,AK Parti,avukat,Çanakkale,1975
Jülide İSKENDEROĞLU,Çanakkale,AK Parti,kamu yönetimi,Balıkesir,1974
Muharrem ERKEK,Çanakkale,CHP,avukat,Çanakkale,1969
Özgür CEYLAN,Çanakkale,CHP,iş adamı,Çanakkale,1973
ÇANKIRI,,,,,
Muhammet Emin AKBAŞOĞLU,Çankırı,AK Parti,avukat,İstanbul,1968
Salim ÇİVİTCİOĞLU,Çankırı,AK Parti,mühendis,Çankırı,1970
ÇORUM,,,,,
Ahmet Sami CEYLAN,Çorum,AK Parti,mühendis,Çorum,1971
Erol KAVUNCU,Çorum,AK Parti,yönetici,Çorum,1963
Oğuzhan KAYA,Çorum,AK Parti,avukat,Çorum,1976
Tufan KÖSE,Çorum,CHP,avukat,Çorum,1967
DENİZLİ,,,,,
Ahmet YILDIZ,Denizli,AK Parti,büyükelçi,Denizli,1964
Cahit ÖZKAN,Denizli,AK Parti,avukat,Denizli,1976
Gülizar BİÇER KARACA,Denizli,CHP,avukat,Aydın,1967
Haşim Teoman SANCAR,Denizli,BAĞIMSIZ,iş adamı,Denizli,1970
Nilgün ÖK,Denizli,AK Parti,iktisatçı,Denizli,1976
Şahin TİN,Denizli,AK Parti,iş adamı,Denizli,1966
Yasin ÖZTÜRK,Denizli,İYİ Parti,mühendis,Denizli,1972
DİYARBAKIR,,,,,
Dersim DAĞ,Diyarbakır,HDP,kamu yönetimi,Diyarbakır,1996
Ebubekir BAL,Diyarbakır,AK Parti,iş adamı,Diyarbakır,1964
Garo PAYLAN,Diyarbakır,HDP,ekonomist,Malatya,1972
Hişyar ÖZSOY,Diyarbakır,HDP,akademisyen,Bingöl,1977
İmam TAŞÇIER,Diyarbakır,HDP,eğitimci,Diyarbakır,1959
Mehmet Mehdi EKER,Diyarbakır,AK Parti,veteriner,Diyarbakır,1956
Oya ERONAT,Diyarbakır,AK Parti,mühendis,Diyarbakır,1962
Remziye TOSUN,Diyarbakır,HDP,ilkokul mezunu,Diyarbakır,1981
Salihe AYDENİZ,Diyarbakır,DBP,hemşire,Diyarbakır,1973
Semra GÜZEL,Diyarbakır,HDP,doktor,Şanlıurfa,1984
DÜZCE,,,,,
Ayşe KEŞİR,Düzce,AK Parti,yazar,Düzce,1967
Fahri ÇAKIR,Düzce,AK Parti,öğretmen,Düzce,1958
Ümit YILMAZ,Düzce,MHP,eczacı,Zonguldak,1971
EDİRNE,,,,,
Fatma AKSAL,Edirne,AK Parti,ekonomist,Edirne,1965
Okan GAYTANCIOĞLU,Edirne,CHP,mühendis,Edirne,1967
Orhan ÇAKIRLAR,Edirne,İYİ Parti,yönetici,Edirne,1954
ELAZIĞ,,,,,
Gürsel EROL,Elazığ,CHP,iş insanı,Elazığ,1963
Metin BULUT,Elazığ,AK Parti,işletmeci,Elazığ,1971
Sermin BALIK,Elazığ,AK Parti,işletmeci,Elazığ,1972
Zülfü DEMİRBAĞ,Elazığ,AK Parti,mühendis,Elazığ,1956
Zülfü Tolga AĞAR,Elazığ,AK Parti,iş insanı,Ankara,1975
ERZİNCAN,,,,,
Burhan ÇAKIR,Erzincan,AK Parti,mali müşavir,Erzincan,1969
Süleyman KARAMAN,Erzincan,AK Parti,mühendis,Erzincan,1956
ERZURUM,,,,,
İbrahim AYDEMİR,Erzurum,AK Parti,mali müşavir,Erzurum,-
Kamil AYDIN,Erzurum,MHP,öğretmen,Erzurum,1963
Muhammet Naci CİNİSLİ,Erzurum,İYİ Parti,tüccar,Erzurum,1969
Recep AKDAĞ,Erzurum,AK Parti,doktor,Erzurum,1960
Selami ALTINOK,Erzurum,AK Parti,bürokrat,Erzurum,1966
Zehra TAŞKESENLİOĞLU BAN,Erzurum,AK Parti,ekonomist,Erzurum,1972
ESKİŞEHİR,,,,,
Arslan KABUKCUOĞLU,Eskişehir,İYİ Parti,doktor,Nevşehir,1957
Emine Nur GÜNAY,Eskişehir,AK Parti,öğretmen,Eskişehir,1962
Harun KARACAN,Eskişehir,AK Parti,iş insanı,Eskişehir,1966
Jale Nur SÜLLÜ,Eskişehir,CHP,iş insanı,Eskişehir,1962
Metin Nurullah SAZAK,Eskişehir,MHP,iş insanı,Eskişehir,1959
Nabi AVCI,Eskişehir,AK Parti,öğretmen,Bilecik,1953
Utku ÇAKIRÖZER,Eskişehir,CHP,mühendis,Eskişehir,1970
GAZİANTEP,,,,,
Abdullah Nejat KOÇER,Gaziantep,AK Parti,iş insanı,Gaziantep,1963
Ahmet UZER,Gaziantep,AK Parti,iş insanı,Gaziantep,1956
Ali ŞAHİN,Gaziantep,AK Parti,iş insanı,Nizip,1970
Ali Muhittin TAŞDOĞAN,Gaziantep,MHP,doktor,Gaziantep,1973
Bayram YILMAZKAYA,Gaziantep,CHP,doktor,Adıyaman,1968
Derya BAKBAK,Gaziantep,AK Parti,mimar,Gaziantep,1972
İmam Hüseyin FİLİZ,Gaziantep,İYİ Parti,mühendis,Gaziantep,1950
İrfan KAPLAN,Gaziantep,CHP,eczacı,Gaziantep,1954
Mahmut TOĞRUL,Gaziantep,HDP,öğretmen,Kahramanmaraş,1967
Mehmet ERDOĞAN,Gaziantep,AK Parti,iktisatçı,Adıyaman,1956
Mehmet Sait KİRAZOĞLU,Gaziantep,AK Parti,kamu yöneticisi,Gaziantep,1973
Müslüm YÜKSEL,Gaziantep,AK Parti,avukat,Şanlıurfa,1994
Sermet ATAY,Gaziantep,MHP,avukat,Gaziantep,1964
GİRESUN,,,,,
Cemal ÖZTÜRK,Giresun,AK Parti,akademisyen,Giresun,1958
Kadir AYDIN,Giresun,AK Parti,avukat,Giresun,1971
Necati TIĞLI,Giresun,CHP,esnaf,Giresun,1983
